Latitude (decimal degrees): 6.944
Longitude (decimal degrees): 79.856
Elevation (m): 16.0
Irradiance Time Offset (h): 0.5
month,year
1,2005
2,2019
3,2008
4,2007
5,2013
6,2011
7,2013
8,2013
9,2016
10,2008
11,2020
12,2014
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20050101:0000,24.92,90.57,0.0,-0.0,0.0,417.02,1.34,134.0,101038.0
20050101:0100,25.1,89.67,23.0,0.0,23.0,417.62,1.35,131.0,101138.0
20050101:0200,25.27,88.77,78.85,17.78,74.4,418.21,1.37,109.0,101228.0
20050101:0300,25.44,87.87,175.05,33.75,159.4,418.8,1.39,106.0,101298.0
20050101:0400,25.61,86.97,268.65,57.06,232.0,419.4,1.41,114.0,101288.0
20050101:0500,25.79,86.07,438.75,111.05,352.8,419.99,1.42,72.0,101258.0
20050101:0600,25.96,85.17,536.15,262.64,313.0,420.58,1.44,293.0,101198.0
20050101:0700,26.13,84.27,381.5,175.94,229.45,421.18,1.46,20.0,101128.0
20050101:0800,28.69,71.6,548.4,335.58,274.35,437.05,2.62,15.0,101008.0
20050101:0900,29.22,70.05,358.2,252.25,179.05,436.85,2.14,28.0,100918.0
20050101:1000,29.28,69.1,265.2,243.41,130.8,436.25,1.38,29.0,100799.0
20050101:1100,29.01,69.55,138.7,196.47,69.3,426.85,0.97,60.0,100809.0
20050101:1200,28.24,74.0,13.9,16.14,11.85,418.85,0.55,124.0,100858.0
20050101:1300,27.02,86.3,0.0,-0.0,0.0,422.05,0.83,184.0,100948.0
20050101:1400,25.96,88.65,0.0,-0.0,0.0,409.85,1.03,184.0,101028.0
20050101:1500,25.72,88.7,0.0,-0.0,0.0,415.25,0.83,153.0,101168.0
20050101:1600,25.01,91.6,0.0,-0.0,0.0,408.85,0.9,122.0,101178.0
20050101:1700,24.55,93.35,0.0,-0.0,0.0,410.25,0.97,122.0,101168.0
20050101:1800,24.36,93.75,0.0,-0.0,0.0,408.65,0.9,119.0,101138.0
20050101:1900,24.97,91.05,0.0,-0.0,0.0,420.25,0.34,289.0,101068.0
20050101:2000,23.85,96.2,0.0,-0.0,0.0,414.45,1.17,10.0,101008.0
20050101:2100,23.9,95.75,0.0,-0.0,0.0,411.05,1.72,17.0,100918.0
20050101:2200,23.9,95.0,0.0,-0.0,0.0,403.65,2.21,17.0,100928.0
20050101:2300,23.77,94.0,0.0,-0.0,0.0,400.45,2.69,17.0,100878.0
20050102:0000,23.5,92.3,0.0,-0.0,0.0,395.25,3.1,17.0,100908.0
20050102:0100,23.22,91.1,32.25,0.0,32.25,386.45,3.03,19.0,100978.0
20050102:0200,23.6,89.7,280.4,793.0,83.0,381.6,2.9,24.0,101048.0
20050102:0300,24.77,83.65,465.2,735.75,124.75,381.4,3.24,27.0,101138.0
20050102:0400,26.12,75.8,665.4,789.44,158.75,399.85,3.1,28.0,101138.0
20050102:0500,27.49,68.65,795.85,830.67,153.0,394.85,2.69,28.0,101128.0
20050102:0600,28.63,62.95,651.6,448.38,270.45,395.05,2.34,24.0,101038.0
20050102:0700,29.4,58.05,757.9,605.38,234.2,413.45,2.9,12.0,100968.0
20050102:0800,29.97,55.1,762.2,791.14,115.1,404.45,2.69,8.0,100838.0
20050102:0900,30.34,53.45,621.6,732.04,100.5,407.45,2.55,2.0,100719.0
20050102:1000,30.39,52.7,416.7,604.83,81.6,403.65,2.34,0.0,100689.0
20050102:1100,30.03,54.5,185.35,359.31,57.7,401.05,2.0,355.0,100669.0
20050102:1200,28.79,65.9,18.1,65.86,9.6,401.05,1.38,322.0,100679.0
20050102:1300,27.11,74.75,0.0,-0.0,0.0,408.05,1.45,307.0,100749.0
20050102:1400,25.8,84.05,0.0,-0.0,0.0,405.05,1.17,315.0,100809.0
20050102:1500,25.93,79.85,0.0,-0.0,0.0,404.65,0.69,0.0,100908.0
20050102:1600,24.75,86.4,0.0,-0.0,0.0,403.85,1.17,62.0,100988.0
20050102:1700,23.99,90.15,0.0,-0.0,0.0,401.05,1.59,68.0,101028.0
20050102:1800,23.57,92.0,0.0,-0.0,0.0,394.85,1.72,58.0,101018.0
20050102:1900,23.43,86.6,0.0,-0.0,0.0,395.85,2.0,39.0,100998.0
20050102:2000,23.28,87.4,0.0,-0.0,0.0,397.65,2.07,36.0,100948.0
20050102:2100,22.99,88.55,0.0,-0.0,0.0,390.6,2.14,34.0,100868.0
20050102:2200,22.8,89.2,0.0,-0.0,0.0,390.45,2.34,30.0,100819.0
20050102:2300,22.67,89.45,0.0,-0.0,0.0,388.6,2.48,25.0,100819.0
20050103:0000,22.43,89.9,0.0,-0.0,0.0,379.2,2.62,20.0,100819.0
20050103:0100,22.44,89.45,37.6,0.0,37.6,388.25,2.62,20.0,100868.0
20050103:0200,22.98,87.65,243.1,550.99,106.65,384.4,2.55,23.0,100928.0
20050103:0300,24.43,81.8,422.45,570.6,158.95,386.0,2.55,23.0,101028.0
20050103:0400,25.94,75.2,590.25,618.92,193.35,400.65,2.55,22.0,101108.0
